GeneID	Muscle_GC	Muscle_MG
ENSMUSG00000006675.10	19,51,17	15,13,20
ENSMUSG00000006676.16	913,774,1134	795,929,1001
ENSMUSG00000006678.6	41,76,40	45,27,58
ENSMUSG00000006699.17	632,821,670	783,991,874
ENSMUSG00000006705.12	68,96,88	124,147,137
ENSMUSG00000006711.15	0,0,0	0,0,0
ENSMUSG00000006715.11	17,7,13	8,9,7
ENSMUSG00000006717.7	149,62,215	100,172,200
ENSMUSG00000006720.16	8,3,0	1,0,2
ENSMUSG00000006724.12	0,0,0	4,0,0
ENSMUSG00000006728.12	135,228,94	191,306,219
ENSMUSG00000006731.10	46,19,34	60,64,36
ENSMUSG00000006732.14	28,49,33	140,144,88
ENSMUSG00000006736.9	108,169,108	158,172,159
ENSMUSG00000006740.14	1064,799,1169	1689,1561,2210
ENSMUSG00000006763.14	29,48,31	24,33,36
ENSMUSG00000006764.8	0,0,0	0,1,0
ENSMUSG00000006777.7	0,0,0	0,0,0
ENSMUSG00000006782.16	417,143,48	93,53,69
ENSMUSG00000006784.14	0,0,1	11,6,3
ENSMUSG00000006800.14	558,945,454	290,524,357
ENSMUSG00000006818.5	903,370,912	892,1203,1353
ENSMUSG00000006850.7	32,69,33	14,23,24
ENSMUSG00000006906.10	54,108,44	43,43,65
ENSMUSG00000006920.14	448,672,299	185,277,278
ENSMUSG00000006930.15	7,5,6	4,0,0
ENSMUSG00000006931.15	78,382,123	41,86,62
ENSMUSG00000006932.17	1938,2366,1932	1318,1880,1510
ENSMUSG00000006941.5	98,87,115	138,198,151
ENSMUSG00000006948.7	0,0,0	0,0,0
ENSMUSG00000006958.14	107,438,64	30,33,62
ENSMUSG00000006998.16	932.36,570,1039.91	1509.65,2170.38,1970.18
ENSMUSG00000007021.5	0,0,0	0,1,1
ENSMUSG00000007029.16	311,311,365	563,681,638
ENSMUSG00000007030.8	77,1,180	41,86,62
ENSMUSG00000007033.4	211.83,11.18,246.28	438.54,489.31,450.91
ENSMUSG00000007034.15	1,0,0	0,0,0
ENSMUSG00000007035.15	0,6,0	3,1,0
ENSMUSG00000007036.15	295,257,225	163,233,259
ENSMUSG00000007038.5	112,127,106	149,142,163
ENSMUSG00000007039.12	119,190,133	72,101,65
ENSMUSG00000007041.9	189,458,190	252,309,271
ENSMUSG00000007050.17	11,30,9	34,54,58
ENSMUSG00000007080.14	43,29,32	26,53,67
ENSMUSG00000007097.14	7763,1987,8838	12856,14347,17500
ENSMUSG00000007107.6	0,0,0	2,0,1
ENSMUSG00000007122.11	2463,16,2925	2742,3037,4020
ENSMUSG00000007207.10	21,27,8	11,12,7
ENSMUSG00000007209.4	0,0,0	0,0,0
ENSMUSG00000007216.6	51,62,105	58,75,64
ENSMUSG00000007279.14	178,327,380	108,130,106
ENSMUSG00000007338.9	93,109,69	94,108,102
ENSMUSG00000007379.15	23,25,6	7,12,20
ENSMUSG00000007411.16	375,348,331	321,468,491
ENSMUSG00000007415.15	298,235,240	233,325,332
ENSMUSG00000007440.10	0,0,0	1,0,0
ENSMUSG00000007457.3	0,0,0	0,0,0
ENSMUSG00000007458.14	233,326,140	254.02,340,313
ENSMUSG00000007476.18	685.31,661.05,562	556.69,664.55,596.45
ENSMUSG00000007480.3	2,0,0	4,2,3
ENSMUSG00000007564.15	466,413,604	554,966,722
ENSMUSG00000007570.16	85,169,86	73,72,102
ENSMUSG00000007589.9	98,87,89	96,105,131
ENSMUSG00000007591.15	3,0,0	2,0,2
ENSMUSG00000007594.10	0,0,0	0,0,1
ENSMUSG00000007603.9	136,178,127	102,118,131
ENSMUSG00000007610.15	77,91,63	104,121,105
ENSMUSG00000007613.15	262,366,266	272,299,236
ENSMUSG00000007617.18	242,99,268	336,380,487
ENSMUSG00000007646.13	3,0,0	0,3,3
ENSMUSG00000007653.12	2,0,11	0,2,0
ENSMUSG00000007655.16	1992,1508,996	975,1516,1699
ENSMUSG00000007656.13	283,193,271	443,561,507
ENSMUSG00000007659.18	414,350,264	332,320,547
ENSMUSG00000007670.10	451,869,519	492,627,467
ENSMUSG00000007682.6	61,373,160	48,19,59
ENSMUSG00000007721.6	133,107,168	137,226,187
ENSMUSG00000007739.10	318,414,393	746,971,917
ENSMUSG00000007777.9	34,14,21	21,45,45
ENSMUSG00000007783.10	42,94,41	9,19,18
ENSMUSG00000007805.4	34,138,37	25,37,21
ENSMUSG00000007812.16	145,207,132	180,171,176
ENSMUSG00000007815.13	946.91,1656.14,914.45	964.64,1340.49,1149.5
ENSMUSG00000007817.15	792,1268,722	576,634,601
ENSMUSG00000007827.10	55,85,56	37,20,50
ENSMUSG00000007833.15	68,147,80	69,113,116
ENSMUSG00000007836.6	442,673,576	485,656,518
ENSMUSG00000007837.11	25,26,9	15,22,14
ENSMUSG00000007850.16	260,446,222	333,314,346
ENSMUSG00000007867.9	25,35,21	25,32,29
ENSMUSG00000007872.3	553,781,487	250,338,195
ENSMUSG00000007877.2	4565,4,5138	3546,3554,4358
ENSMUSG00000007880.16	824,1110,787	765,799,824
ENSMUSG00000007888.15	90,97,126	105,158,109
ENSMUSG00000007891.16	1923,2024,2032	3005,4030.4,3569.37
ENSMUSG00000007892.8	1481.36,2362.73,1591.2	2621.5,3490.27,3378.66
ENSMUSG00000007907.4	0,0,0	0,0,0
ENSMUSG00000007908.14	6,1,0	5,2,5
ENSMUSG00000007944.8	0,0,0	0,0,0
ENSMUSG00000007946.11	0,0,0	0,0,0
ENSMUSG00000007950.9	95,265,103	58,96,80
ENSMUSG00000007987.12	42,51,34	24,61,39
ENSMUSG00000007989.7	77,17,1	19,11,16
ENSMUSG00000008028.15	0,0,0	0,0,0
ENSMUSG00000008035.12	434,283,347	1550,921,933
ENSMUSG00000008036.11	131,195,144	140,213,186
ENSMUSG00000008090.14	359,425,309	168,241,295
ENSMUSG00000008129.14	1,0,0	2,0,0
ENSMUSG00000008136.14	81,30,107	135,183,152
ENSMUSG00000008140.17	219,454,244	185,314,295
ENSMUSG00000008153.11	27,53,13	3,1,2
ENSMUSG00000008167.14	40,27,19	16,23,15
ENSMUSG00000008193.13	0,0,0	0,1,0
ENSMUSG00000008200.14	210,214,205	154,128,171
ENSMUSG00000008206.16	121,119,91	43,34,94
ENSMUSG00000008226.14	83,61,122	83,81,126
ENSMUSG00000008301.11	90,152,111	98,121,114
ENSMUSG00000008305.18	257.51,260,151.28	172,232,243
ENSMUSG00000008307.11	1,0,1	0,0,0
ENSMUSG00000008318.10	34,0,63	227,205,153
ENSMUSG00000008333.12	30,29,37	51,62,49
ENSMUSG00000008348.9	2963,2560,2827	5178,5437,4639
ENSMUSG00000008373.16	101,114,69	110,136,181
ENSMUSG00000008384.8	76,73,93	161,148,156
ENSMUSG00000008393.9	311,553,390	274,346.69,274
ENSMUSG00000008398.15	310,388,339	154,294,226
ENSMUSG00000008429.8	234,303,271	283,342,379
ENSMUSG00000008435.15	78,60,138	124,203,181
ENSMUSG00000008438.3	1,0,0	2,0,2
ENSMUSG00000008450.8	0,37.78,7.73	48.86,75.72,34.35
ENSMUSG00000008461.6	0,0,0	0,0,0
ENSMUSG00000008475.13	275,466,200	243,284,249.89
ENSMUSG00000008482.9	0,0,0	1,0,1
ENSMUSG00000008489.18	0,0,5	0,0,0
ENSMUSG00000008496.19	3,13,14	4,6,4
ENSMUSG00000008540.11	360,737,301	101,147,151
ENSMUSG00000008575.17	1504,2033,1342	1113,1271,1627
ENSMUSG00000008590.4	0,0,0	0,0,0
ENSMUSG00000008601.12	0,0,0	0,0,0
ENSMUSG00000008604.11	377,360,372	464,656,677
ENSMUSG00000008658.16	219,5,212	99,150,166
ENSMUSG00000008668.15	970.6,1338.6,886.05	1749.46,2284.71,2026.41
ENSMUSG00000008682.13	432.24,558.42,501.95	1088.91,1567.39,1275.88
ENSMUSG00000008683.16	365.11,413.99,345.86	738.58,887.07,795.45
ENSMUSG00000008690.15	272.9,334,359.59	309,426.52,396
ENSMUSG00000008730.17	1524,1601,1225	793,957,1106
ENSMUSG00000008734.9	401,605,194	560,626,647
ENSMUSG00000008763.16	258,452,285	182,252,320
ENSMUSG00000008789.10	0,0,0	0,0,0
ENSMUSG00000008813.13	1,1,0	0,1,0
ENSMUSG00000008822.15	21,28,16	11,23,28
ENSMUSG00000008843.4	0,0,0	0,0,0
ENSMUSG00000008845.9	211,410,143	161,143,249
ENSMUSG00000008855.17	751,830,842	441,563,610
ENSMUSG00000008859.8	167,124,96	112,161,168
ENSMUSG00000008874.3	20,3152,182	3,2,0
ENSMUSG00000008892.12	574.3,239.98,516.36	729.84,1027.91,972.91
ENSMUSG00000008932.9	1,0,8	0,0,0
ENSMUSG00000008958.14	107,127,95	138,128,134
ENSMUSG00000008976.16	235,232,142	168,195,186
ENSMUSG00000008999.7	7,48,0	1,3,3
ENSMUSG00000009013.5	189,253,175	335,501,432
ENSMUSG00000009030.14	92,71,44	50,56,65
ENSMUSG00000009035.15	268,655,221	305,358,317
ENSMUSG00000009047.3	0,0,0	0,0,0
ENSMUSG00000009070.14	0,0,0	0,0,0
ENSMUSG00000009073.16	602,759,775	586,781,788
ENSMUSG00000009075.2	0,0,0	0,0,0
ENSMUSG00000009076.10	37,55,20	41,75,42
ENSMUSG00000009079.16	514.21,597.37,513.69	522.5,616.57,583.52
ENSMUSG00000009090.17	359,342,423	749,856,978
ENSMUSG00000009092.5	0,2,0	0,1,0
ENSMUSG00000009093.7	2,0,0	0,0,0
ENSMUSG00000009097.10	82,19,102	57,81,80
ENSMUSG00000009108.15	0,0,0	1,0,0
ENSMUSG00000009112.4	361,262,483	506,697,782
ENSMUSG00000009114.17	4,0,2	0,1,2
ENSMUSG00000009115.5	0,0,0	0,0,0
ENSMUSG00000009145.6	6,9,2	1,11,4
ENSMUSG00000009185.2	2,17,0	10,0,8
ENSMUSG00000009207.15	118,113,89	177,181,230
ENSMUSG00000009210.10	1,0,9	1,1,3
ENSMUSG00000009214.9	0,0,0	0,10,35
ENSMUSG00000009216.7	0,0,0	0,0,0
ENSMUSG00000009246.14	0,0,0	0,0,0
ENSMUSG00000009248.6	2,0,0	0,0,0
ENSMUSG00000009281.6	358,1526,388	114,123,135
ENSMUSG00000009291.13	688,1131,507	769,973,861
ENSMUSG00000009292.18	13,0,7	9,9,2
ENSMUSG00000009293.17	444,270,591	745,1163.95,993.88
ENSMUSG00000009350.13	0,0,0	0,0,0
ENSMUSG00000009356.12	0,0,0	0,0,0
ENSMUSG00000009376.15	177,390,86	175,189,175
ENSMUSG00000009378.3	14,6,15	15,38,34
ENSMUSG00000009394.13	23,37,30	5,9,18
ENSMUSG00000009406.13	59,102,65	43,48,67
ENSMUSG00000009418.15	634,1504,501	478,603.74,508
ENSMUSG00000009470.17	614.29,770.26,494	824.9,866.88,889.17
ENSMUSG00000009471.4	34,0,126	135,228,135
ENSMUSG00000009487.10	0,0,13	3,1,5
ENSMUSG00000009535.13	106,120,70	139,162,184
ENSMUSG00000009545.14	22,24,2	8,4,13
ENSMUSG00000009549.14	166,124,203	163,264,203
ENSMUSG00000009551.2	0,0,0	0,0,0
ENSMUSG00000009555.16	165,200,149	103,105,166
ENSMUSG00000009563.16	58,109,32	45,86,71
ENSMUSG00000009566.12	35,53,72	69,86,85
ENSMUSG00000009569.14	708,629,322	333,343,481
ENSMUSG00000009575.14	546,1051,445	412,612,609
ENSMUSG00000009580.15	0,0,0	0,0,0
ENSMUSG00000009585.18	86,79,54	45,35,36
ENSMUSG00000009588.9	0,0,0	0,0,0
ENSMUSG00000009596.9	0,0,0	0,0,0
ENSMUSG00000009614.16	80,133,75	33,45,54.11
ENSMUSG00000009621.18	160,197,63	55,58,64
ENSMUSG00000009628.14	0,0,0	1,3,0
ENSMUSG00000009630.10	123,115,80	138,179,193
ENSMUSG00000009633.3	375,325,560	95,196,308
ENSMUSG00000009640.11	70,86,64	86,121,110
ENSMUSG00000009646.13	2,33,2	2,2,0
ENSMUSG00000009647.13	255,233,246	412,534,619
ENSMUSG00000009654.4	0,37,3	1,3,2
ENSMUSG00000009670.11	0,0,3	0,0,0
ENSMUSG00000009681.10	387,1131,447	211,234,165
ENSMUSG00000009687.14	90,315,124	187,182,138
ENSMUSG00000009731.4	13,39,7	7,8,9
ENSMUSG00000009733.9	71,89,97	50,80,68
ENSMUSG00000009734.18	0,0,0	0,0,0
ENSMUSG00000009739.17	148,315,143	120,110,119
ENSMUSG00000009741.15	235,297,180	153,224,237
ENSMUSG00000009772.15	50,111,87	79,77,32
ENSMUSG00000009828.15	194,429,167	101,122,158
ENSMUSG00000009863.14	1020,259,1167	1119,1661,1502
ENSMUSG00000009876.13	16,12,24	18,7,26
ENSMUSG00000009894.15	99,142,95	254,265,253
ENSMUSG00000009900.7	0,0,0	0,0,0
ENSMUSG00000009905.5	191,212,139	95,113,129
ENSMUSG00000009907.17	180,294.76,154.95	184.92,206.93,192
ENSMUSG00000009927.9	626.75,1043.04,682.96	1309.63,1699.62,1748.83
ENSMUSG00000009941.10	0,0,0	0,0,0
ENSMUSG00000009995.17	153,146,124	120,175,169
ENSMUSG00000010021.13	73,1,0	8,7,0
ENSMUSG00000010025.19	145,240,136	101,136,119
ENSMUSG00000010044.12	0,0,0	0,2,0
ENSMUSG00000010045.2	134,248,182	149,260,196
ENSMUSG00000010047.12	103,127,79	115,173,106
ENSMUSG00000010048.10	86,88,109	222,277,297
ENSMUSG00000010051.15	92.07,255.96,55.31	18.55,35.13,43.87
ENSMUSG00000010054.4	107,90,122	110,145,155
ENSMUSG00000010057.8	30,25,28	21,55,25
ENSMUSG00000010064.15	361,21,411	424,382,465
ENSMUSG00000010066.15	9,43,29	8,14,6
ENSMUSG00000010067.13	113,164,130	173,129,117
ENSMUSG00000010080.15	1,0,12	1,0,1
ENSMUSG00000010086.17	0,0,0	0,0,0
ENSMUSG00000010095.13	404,308,273	331,404,286
ENSMUSG00000010097.14	458,521,430	330,338,419
ENSMUSG00000010110.17	186,377,137	177,163,137
ENSMUSG00000010122.14	38,0,18	143,138,182
ENSMUSG00000010136.14	0,0,0	0,0,0
ENSMUSG00000010142.12	2,0,7	11,8,5
ENSMUSG00000010154.7	37,0,0	2,2,0
ENSMUSG00000010175.13	133,115,157	124,181,189
ENSMUSG00000010205.11	206.93,309.01,255.68	220.41,271.41,219.29
ENSMUSG00000010277.7	1733,1759,1825	1477,1984,2334
ENSMUSG00000010290.7	115,83,200	99,136,122
ENSMUSG00000010307.7	48,51,73	25,37,34
ENSMUSG00000010311.15	0,0,0	1,2,2
ENSMUSG00000010342.16	0,0,0	5,2,0
ENSMUSG00000010358.13	70,107,50	51,74,55
ENSMUSG00000010362.9	69,54,50	24,43,29
ENSMUSG00000010376.15	148,118,125	160,221,188
ENSMUSG00000010392.8	178,134,160	138,192,183
ENSMUSG00000010406.12	68,52,42	91,145,90
ENSMUSG00000010435.7	0,0,0	0,0,0
ENSMUSG00000010453.12	482,522,530	537,542,590
ENSMUSG00000010461.15	76,144,68	81,74,68
ENSMUSG00000010476.14	227,478,207	63,87,104
ENSMUSG00000010492.10	64,0,79	17,24,27
ENSMUSG00000010505.16	0,0,0	0,0,0
ENSMUSG00000010517.7	323,247,332	430,583,734
ENSMUSG00000010529.6	0,3,6	2,0,4
ENSMUSG00000010538.14	3,0,0	2,5,6
ENSMUSG00000010554.14	75,102,135	176,206,216
ENSMUSG00000010592.9	0,0,0	0,0,0
ENSMUSG00000010601.14	0,0,0	0,0,0
ENSMUSG00000010607.8	58,48,76	28,49,45
ENSMUSG00000010608.15	264,213,170	258,214,258
ENSMUSG00000010609.15	75,92,97	39,30,59
ENSMUSG00000010651.4	12.92,68.28,8.78	1.25,2.8,1.2
ENSMUSG00000010660.3	148,301,148	95,122,149
ENSMUSG00000010663.4	309,747,283	169,223,108
ENSMUSG00000010721.15	108,137,68	30,40,60
ENSMUSG00000010751.15	25.65,2.46,8.05	29.43,39.94,43.51
ENSMUSG00000010755.17	162,160,162	255,306,267
ENSMUSG00000010760.5	0,0,0	0,0,0
ENSMUSG00000010796.11	0,0,0	0,0,0
ENSMUSG00000010797.6	3,37,0	8,8,3
ENSMUSG00000010803.13	3,0,9	2,0,0
ENSMUSG00000010825.17	0,0,0	0,0,0
ENSMUSG00000010830.8	65,122,66	49,74,40
ENSMUSG00000010841.13	0,0,0	0,0,0
ENSMUSG00000010911.12	46,26,24	22,57,23
ENSMUSG00000010914.10	238,32,268	300,388,412
ENSMUSG00000010936.11	142,231,135	228,254,248
ENSMUSG00000011008.13	2,5,9	6,3,2
ENSMUSG00000011034.6	0,0,0	0,0,0
ENSMUSG00000011052.6	0,0,0	0,0,1
ENSMUSG00000011096.17	302,247,294	313,437,435
ENSMUSG00000011114.18	186,402,207	299,330,346
ENSMUSG00000011118.4	0,0,0	0,0,0
ENSMUSG00000011148.14	1509,2,1938	2611,2937,3252
ENSMUSG00000011154.17	0,0,0	0,0,0
ENSMUSG00000011158.8	235,291,227	146,191,204
ENSMUSG00000011171.11	17,68,60	14,12,8
ENSMUSG00000011179.8	431.91,313.44,434.42	2229.63,2008.49,2027.04
ENSMUSG00000011254.16	9,21,19	29,15,17
ENSMUSG00000011256.16	127,283,213	120,109,132
ENSMUSG00000011257.19	713.07,212.9,878.39	1662.23,2040.84,2145.34
ENSMUSG00000011263.16	106,65,62	51,64,38
ENSMUSG00000011267.8	5,0,0	3,3,3
ENSMUSG00000011305.11	149,16,211	49,239,232
ENSMUSG00000011306.7	132,171,169	115,135,148
ENSMUSG00000011349.5	0,0,0	0,0,0
ENSMUSG00000011350.15	0,0,0	0,0,0
ENSMUSG00000011382.8	200,256.72,70.11	48.13,73,89
ENSMUSG00000011427.16	94,196,78	77,111,106
ENSMUSG00000011463.5	2,6,0	0,0,0
ENSMUSG00000011486.14	0,0,0	0,0,0
ENSMUSG00000011589.9	0,0,0	0,0,0
ENSMUSG00000011632.7	0,0,0	0,0,0
ENSMUSG00000011658.16	41,71,21	24,44,39
ENSMUSG00000011751.16	4,0,0	0,1,4
ENSMUSG00000011752.6	194.95,317.68,212.82	275.43,423.94,319.9
ENSMUSG00000011831.16	235.36,256,148	130,137.62,175
ENSMUSG00000011832.15	150,206,174	122,152,212
ENSMUSG00000011837.4	46,71,67	48,61,68
ENSMUSG00000011877.13	495,460,531	520,707,700
ENSMUSG00000011884.13	130,298,136	77,98,91
ENSMUSG00000011958.17	366,369,393	327,465,394
ENSMUSG00000011960.12	276,342,232	200,233,230
ENSMUSG00000012017.4	368,1067,629	187,242,161
ENSMUSG00000012042.8	0,0,0	0,0,0
ENSMUSG00000012076.8	78,69,49	53,67,86
ENSMUSG00000012114.17	184,295,294	269,342,279
ENSMUSG00000012117.13	115,170,100	89,145,106
ENSMUSG00000012123.17	0,0,0	0,0,0
ENSMUSG00000012126.16	0,0,0	1,3,6
ENSMUSG00000012187.13	6,11,0	0,0,0
ENSMUSG00000012211.13	0,0,0	0,1,0
ENSMUSG00000012282.2	0,0,0	0,0,0
ENSMUSG00000012296.16	170,174,273	225,333,305
ENSMUSG00000012350.15	0,0,0	0,0,0
ENSMUSG00000012396.12	0,0,0	0,0,0
ENSMUSG00000012405.16	964.51,1090.53,837.84	1718.86,2305.48,2157.25
ENSMUSG00000012422.14	147,158,103	177,205,226
ENSMUSG00000012428.9	771,994,510	384,463,711
ENSMUSG00000012429.9	51,56,45	48,52,43
ENSMUSG00000012443.3	9,10,0	7,7,26
ENSMUSG00000012483.4	12,7,28	8,17,28
ENSMUSG00000012519.14	26,36,17	27,28,19
ENSMUSG00000012520.10	0,0,0	0,0,0
ENSMUSG00000012535.14	271,242,254	402,479,520
ENSMUSG00000012609.19	91,119,71	54,85,48
ENSMUSG00000012640.16	102,120,63	76,87,103
ENSMUSG00000012705.16	271,645,91	35,27,44
ENSMUSG00000012777.14	0,0,0	0,0,0
ENSMUSG00000012819.15	63,71,88	20,25,26
ENSMUSG00000012848.15	1202,1645,1272	2132,2925,2781
ENSMUSG00000012889.8	0,0,0	0,0,0
ENSMUSG00000013033.16	495,535,419	242,327,288
ENSMUSG00000013076.17	3723,2406,4072	4186,4334,5066
ENSMUSG00000013083.8	0,0,0	0,0,0
ENSMUSG00000013089.15	80,283.67,116	48,101.32,73.16
ENSMUSG00000013091.5	0,0,0	0,0,0
ENSMUSG00000013150.15	57,71,33	23,55,74
ENSMUSG00000013155.10	6,17,13	8,14,13
ENSMUSG00000013158.6	0,0,0	0,0,0
ENSMUSG00000013160.7	165,393,152	370,506,415
ENSMUSG00000013236.17	941,2517,1197	428,599,412
ENSMUSG00000013275.9	503,277,645	399,554,461
ENSMUSG00000013338.16	0,0,0	0,0,0
ENSMUSG00000013353.10	0,0,0	0,0,0
ENSMUSG00000013367.5	7,18,7	1,0,4
ENSMUSG00000013415.9	0,0,0	0,0,0
ENSMUSG00000013418.8	0,0,0	0,0,0
ENSMUSG00000013419.7	1002,718,1507	890,1254,1347
ENSMUSG00000013465.19	162,290,161	153,229,160
ENSMUSG00000013483.14	21,14,18	233,46,49
ENSMUSG00000013495.15	48,95,54	14,48,41
ENSMUSG00000013523.13	62,0,0	6,2,0
ENSMUSG00000013539.14	55,54,82	58,70,59
ENSMUSG00000013562.12	0,0,0	0,0,0
ENSMUSG00000013584.5	33,57,18	155,119,133
ENSMUSG00000013593.12	1504,504,1834	1765,2293,2368
ENSMUSG00000013611.14	0,0,0	0,0,0
ENSMUSG00000013622.15	108,153,116	105,170,158
ENSMUSG00000013629.16	168,538,143	312,387,304
ENSMUSG00000013643.13	0,0,0	0,0,0
ENSMUSG00000013646.17	199,171,145	121,161,184
ENSMUSG00000013653.2	0,0,0	0,0,0
ENSMUSG00000013662.5	225,183,194	444,498,473
ENSMUSG00000013663.7	1236,1378,864	772,916,1141
ENSMUSG00000013668.9	0,0,0	0,0,0
ENSMUSG00000013698.12	567,922,539	304,451,366
ENSMUSG00000013701.13	116.6,112.3,172.65	429.93,547.97,634.8
ENSMUSG00000013707.3	5,27,3	16,9,9
ENSMUSG00000013736.16	62,35,100	100,99,144
ENSMUSG00000013766.11	0,0,0	0,0,0
ENSMUSG00000013787.15	581,865,598	297,452,334
ENSMUSG00000013822.7	112,102,119	91,104,108
ENSMUSG00000013833.15	188,146,274	183,220,198
ENSMUSG00000013846.10	394,985,306	351,351,326
ENSMUSG00000013858.14	482,518,593	552,805,743
ENSMUSG00000013878.18	72.42,30.77,122.29	81,76,101
ENSMUSG00000013921.15	135,338,112	43,82,39
ENSMUSG00000013928.13	0,0,0	0,0,0
ENSMUSG00000013936.12	4995,6,5157	4160,5409,4518
ENSMUSG00000013973.12	136,98,119	156,182,188
ENSMUSG00000013974.3	0,0,0	5,0,0
ENSMUSG00000013997.10	56,66,55	79,78,95
ENSMUSG00000014030.15	4,0,0	0,0,0
ENSMUSG00000014039.18	64,107,137	46,58,64
ENSMUSG00000014074.17	152,145,117	92,112,131
ENSMUSG00000014075.15	7,11,5	4,8,7
ENSMUSG00000014077.13	559,900.7,380	329,490.23,485
ENSMUSG00000014104.12	0,0,0	0,0,0
ENSMUSG00000014158.12	88,221,62	67,72,48
ENSMUSG00000014164.15	65,60,21	11,16,28
ENSMUSG00000014177.10	55,122,28	40,52,65
ENSMUSG00000014195.15	270,229,261	345,377,402
ENSMUSG00000014198.15	2,17,0	0,1,2
ENSMUSG00000014226.10	105,101,165	211,251,263
ENSMUSG00000014232.14	55,93,54.88	51,69,54
ENSMUSG00000014243.5	38,2,24	19,60,48
ENSMUSG00000014245.8	24,31,10	13,23,19
ENSMUSG00000014294.4	376,195,443	323,485,537
ENSMUSG00000014301.13	21.43,67,27.47	56.02,26.83,71.88
ENSMUSG00000014303.13	229,834,243	97,124,83
ENSMUSG00000014313.15	665.76,134,664	649,782,699
ENSMUSG00000014329.14	389,1215,397	304,372,221
ENSMUSG00000014349.7	265,377,235	314,463,380
ENSMUSG00000014351.12	0,0,0	0,0,0
ENSMUSG00000014353.14	193,225,138	158,178,188
ENSMUSG00000014355.10	597,833,585	533,647,651
ENSMUSG00000014361.5	188,301,128	95,60,122
ENSMUSG00000014402.15	107,144,91	100,149,151.14
ENSMUSG00000014418.16	124,250,153	94,106,112
ENSMUSG00000014426.9	318,319,387	319,422,385
ENSMUSG00000014444.17	670,1293,802	477,677,565
ENSMUSG00000014453.4	0,0,0	0,2,0
ENSMUSG00000014470.4	155,139,213	132,160,164
ENSMUSG00000014496.8	368,336,422	556,517,510
ENSMUSG00000014498.9	550,346,631	1103,1265,1227
ENSMUSG00000014503.14	5,4,9	1,4,5
ENSMUSG00000014504.16	56,62,89	87,124,92
ENSMUSG00000014529.9	0,0,0	0,0,0
ENSMUSG00000014542.3	0,0,0	0,0,0
ENSMUSG00000014543.14	0,0,0	0,0,0
ENSMUSG00000014547.10	256,490,232	193,191,241
ENSMUSG00000014550.14	178,243,179	215,224,303
ENSMUSG00000014551.8	72,61,64	83,84,91
ENSMUSG00000014554.13	40,76,70	36,73,35
ENSMUSG00000014592.20	236,12,413	381,456,614
ENSMUSG00000014599.10	280,1067,355	575,331,241
ENSMUSG00000014601.13	155,157,203	170,226,229
ENSMUSG00000014602.15	305,15,40	31,29,20
ENSMUSG00000014603.3	0,0,0	0,0,0
ENSMUSG00000014606.14	478,154,471	403,746,700
ENSMUSG00000014609.16	1,0,0	0,0,0
ENSMUSG00000014633.15	21,9,33	28,35,33
ENSMUSG00000014668.15	111,86,124	68,93,117
ENSMUSG00000014686.8	1,0,0	0,0,0
ENSMUSG00000014704.10	7.23,0,0	0,3,2
ENSMUSG00000014725.16	0,0,0	0,0,0
ENSMUSG00000014747.6	0,0,0	0,0,0
ENSMUSG00000014748.13	204,317,217	214,279,319
ENSMUSG00000014763.8	150,178,140	132,150,153
ENSMUSG00000014767.17	74,121,58	47,49,48
ENSMUSG00000014769.10	277,257,387	484,734.99,621
ENSMUSG00000014771.13	24,23,46	45,34,47
ENSMUSG00000014773.13	123,66,54	47,90,66
ENSMUSG00000014776.7	248,51,292	484,633,616
ENSMUSG00000014778.10	187,158,235	462,369,384
ENSMUSG00000014782.16	2,0,0	2,3,1
ENSMUSG00000014786.8	10,15,9	11,15,16
ENSMUSG00000014791.10	17,32,16	10,9,18
ENSMUSG00000014813.9	37,36,10	40,32,16
ENSMUSG00000014837.15	3,11,16	13,10,11
ENSMUSG00000014846.12	569,1059,378	406,782,571
ENSMUSG00000014850.15	84,125,77	42,57,77
ENSMUSG00000014852.16	0,0,0	0,0,0
ENSMUSG00000014856.12	27,45,22	54,103,93
ENSMUSG00000014859.9	91,172,142	251,294,350
ENSMUSG00000014867.9	553,906,730	998,1354,1131
ENSMUSG00000014873.15	34,42,36	85,94,68
ENSMUSG00000014905.4	141,116,124	297,337,211
ENSMUSG00000014907.10	67,61,81	59.86,98.83,84
ENSMUSG00000014932.15	136,116,78	76,103,114
ENSMUSG00000014956.15	1101,631,1084	1298,1642,1845
ENSMUSG00000014959.12	257,298,355	447,547,518
ENSMUSG00000014980.14	20.16,45,32	70,69,54
ENSMUSG00000015001.17	0,0,0	0,0,0
ENSMUSG00000015002.18	345,348,381	321.97,361,520
ENSMUSG00000015013.9	53,53,52	40,93,66
ENSMUSG00000015016.8	105,103,128	64,116,87
ENSMUSG00000015023.7	146.35,241.59,218.28	165.73,220.9,233.48
ENSMUSG00000015027.11	47,51,54	72,106,70
ENSMUSG00000015053.14	147,64,75	70,72,75
ENSMUSG00000015083.11	5,0,5	0,0,0
ENSMUSG00000015085.8	238,383,119	53,61,88
ENSMUSG00000015087.14	498,456,600	441,721,653
ENSMUSG00000015090.13	0,0,0	0,0,1
ENSMUSG00000015092.9	170,218,188.81	230,309,245
ENSMUSG00000015093.15	0,0,0	1,0,0
ENSMUSG00000015094.16	198,682,249	125,152,130
ENSMUSG00000015095.12	196,165,236	213,311,326
