GeneID	Muscle_GC	Muscle_MG
ENSMUSG00000001661.5	18,39,10	20,21,4
ENSMUSG00000001663.10	107,145,61	28,35,30
ENSMUSG00000001665.11	77,65,40	14,19,10
ENSMUSG00000001666.8	73,69,60	26,44,28
ENSMUSG00000001670.13	0,0,0	0,0,0
ENSMUSG00000001672.14	0,0,0	0,0,0
ENSMUSG00000001674.11	103.98,142.02,144.45	171.64,188.43,180.08
ENSMUSG00000001687.15	495,545,525	586,691,764
ENSMUSG00000001700.9	84,172,160	108,169,159
ENSMUSG00000001707.8	35,13,25	116,134,110
ENSMUSG00000001729.14	709,1142,789	950,1202,1097
ENSMUSG00000001739.14	26,0,7	20,34,54
ENSMUSG00000001741.12	284,506,93	71,82,83
ENSMUSG00000001750.15	120,159,86	72,76,76
ENSMUSG00000001751.9	70,211,91	44,72,48
ENSMUSG00000001755.12	110,75,114	70,120,111
ENSMUSG00000001761.7	327,851,386	100,178,136
ENSMUSG00000001763.14	17,0,65	16,26,7
ENSMUSG00000001767.5	110,134,112	121,155,147
ENSMUSG00000001768.16	422,1615,661	168,299,180
ENSMUSG00000001773.14	3,0,0	1,0,0
ENSMUSG00000001774.8	107,64,77	223,211,242
ENSMUSG00000001783.3	222,284,255	254,329,298
ENSMUSG00000001785.13	66,58,77	185,147,156
ENSMUSG00000001786.14	75,196,43	49,62,52
ENSMUSG00000001794.13	736,1072,855	814,1234,1059
ENSMUSG00000001802.16	142,191,165	113,90,115
ENSMUSG00000001804.9	0,0,0	0,0,0
ENSMUSG00000001815.15	0,1,0	0,0,0
ENSMUSG00000001819.4	0,4,0	0,0,0
ENSMUSG00000001823.5	0,0,0	0,0,0
ENSMUSG00000001827.12	9,0,18	0,3,0
ENSMUSG00000001829.17	252,240,224	225,310,339
ENSMUSG00000001833.17	426,538,437	409,436,479
ENSMUSG00000001844.10	85,76,50	41,68,54
ENSMUSG00000001847.14	823,946,719	869,1119,1078
ENSMUSG00000001855.15	269,325,176	248,281,278
ENSMUSG00000001864.13	37,126,9	17,28,71
ENSMUSG00000001865.2	22,57,8	7,13,3
ENSMUSG00000001870.16	501,1791,619	212,327,246
ENSMUSG00000001891.16	1677,218,1878	4785,4657,4864
ENSMUSG00000001901.15	0,0,0	0,0,0
ENSMUSG00000001909.16	166,148,133	223,253,215
ENSMUSG00000001910.4	297,291,269	538,636.59,786.5
ENSMUSG00000001911.16	2444,5023,4014	2507,2987,3398
ENSMUSG00000001918.17	2311,4503,1239	631,678,964
ENSMUSG00000001924.15	937,1155,937	1293,1792,1676
ENSMUSG00000001930.17	3124,1051,856	218,676,319
ENSMUSG00000001942.8	65,129,34	28,46,26
ENSMUSG00000001943.8	17,17,19	3,1,12
ENSMUSG00000001946.14	390,202,178	267,349,345
ENSMUSG00000001948.10	3,5,0	1,2,3
ENSMUSG00000001962.8	114,99,87	107,133,136
ENSMUSG00000001964.14	92,104.55,63.4	167.94,152.88,169.5
ENSMUSG00000001983.7	78,16,120	119,199,199
ENSMUSG00000001985.9	69,7,8	5,7,6
ENSMUSG00000001986.16	112,219,49	30,26,28
ENSMUSG00000001988.9	0,0,0	0,0,0
ENSMUSG00000001995.9	430,286,420	269,315,267
ENSMUSG00000001998.15	80,96,66	53,75,95
ENSMUSG00000001999.15	56,65,13	53,56,55
ENSMUSG00000002006.12	53,174,74	22,50,43
ENSMUSG00000002007.5	70,0,104	182,184,222
ENSMUSG00000002010.17	810,295,758	754,1034,987
ENSMUSG00000002012.13	12,1,10	7,3,3
ENSMUSG00000002014.12	109,210,132	142,236,189
ENSMUSG00000002015.5	220,434,195	197,297,303
ENSMUSG00000002017.10	176,185,129	210,308,268
ENSMUSG00000002020.15	352,2634,535	113,139,116
ENSMUSG00000002028.13	985,1690,950	714,701,715
ENSMUSG00000002031.12	101,216,35	46,74,52
ENSMUSG00000002032.17	30,3,57	10,28,33
ENSMUSG00000002033.14	0,0,0	0,1,0
ENSMUSG00000002043.17	22,62,19	17,12,11
ENSMUSG00000002052.6	552,676,539	568,648,598
ENSMUSG00000002055.9	6,0,8	20,24,26
ENSMUSG00000002057.4	0,0,0	0,0,0
ENSMUSG00000002058.13	13,42,45	10,14,19
ENSMUSG00000002059.18	135,324,84	45,58,47
ENSMUSG00000002064.10	111,124,164	128,162,131
ENSMUSG00000002068.16	3,0,0	2,3,10
ENSMUSG00000002076.11	0,0,0	12,22,14
ENSMUSG00000002083.13	39,96,45	13,13,11
ENSMUSG00000002100.15	0,0,0	1,0,0
ENSMUSG00000002102.15	589,449,790	971,1328,1215
ENSMUSG00000002103.15	163,264,183	123,173,201
ENSMUSG00000002104.11	71,16,120	90,150,128
ENSMUSG00000002105.15	164,375,259	187,273,284
ENSMUSG00000002107.18	438,431,216	322,337,475
ENSMUSG00000002108.10	93,204,122	31,51,65
ENSMUSG00000002109.14	29,41,31	13,13,21
ENSMUSG00000002111.8	25,54,34	51,62,52
ENSMUSG00000002129.11	233,244,248	226,286,290
ENSMUSG00000002147.18	359,717,337	252,348,297
ENSMUSG00000002190.13	0,1,5	0,0,0
ENSMUSG00000002204.9	5,11,7	16,12,7
ENSMUSG00000002205.16	29,81,52	52,99,108
ENSMUSG00000002210.11	59,90,93	146,132,138
ENSMUSG00000002221.11	143,158,97	83,87,122
ENSMUSG00000002222.14	783,886,626	337,605,504
ENSMUSG00000002227.15	34,34,28	12,24,24.46
ENSMUSG00000002228.7	49,0,72	110,113,107
ENSMUSG00000002233.13	170,265,197	574,708,668
ENSMUSG00000002240.12	0,0,0	0,0,0
ENSMUSG00000002249.21	72,96,94	73,73,75
ENSMUSG00000002250.16	148,199,216	160,184,186
ENSMUSG00000002257.8	41,54,20	20,15,12
ENSMUSG00000002265.16	579,865,413	307,282,430
ENSMUSG00000002266.17	23,34,9	21,28,53
ENSMUSG00000002274.12	62,32,37	32,70,66
ENSMUSG00000002279.19	54,46,78	42,68,45
ENSMUSG00000002280.10	107,55,149	174,251,216
ENSMUSG00000002289.16	239,177,65	88,455,240
ENSMUSG00000002297.16	10,5,17	12,9,18
ENSMUSG00000002307.16	110,143,98	65,104,121
ENSMUSG00000002308.16	31,28,45	43,52,66
ENSMUSG00000002319.16	283.61,396.57,357.69	545,737,553
ENSMUSG00000002320.15	162.45,259.69,182.54	146,196,178
